id	name	pop_2000	x	y
2270	Philipstown	9422	590,676.8826	4,585,826.221
2271	Stony Point	14244	582,816.5699	4,568,006.3
1273	Syracuse	147306	406,835.3053	4,765,962.36
1274	Tonawanda	16136	183,816.1072	4,769,316.622
1275	Little Falls	5188	511,698.8449	4,765,823.233
1276	Batavia	16256	240,783.5824	4,765,574.261
1277	Ogdensburg	12364	462,512.2593	4,950,661.67
1278	Watertown	26705	427,067.6361	4,869,302.522
1279	Lockport	22279	199,495.9359	4,786,322.746
1280	Niagara Falls	55593	173,225.7296	4,778,877.478
1281	Rochester	219773	287,339.7527	4,782,794.601
1282	North Tonawanda	33262	185,108.1785	4,773,135.335
1283	Buffalo	292648	184,979.0906	4,756,174.257
1284	Amsterdam	18355	566,008.7404	4,754,704.956
1285	Mechanicville	5019	607,012.7856	4,750,882.529
1286	Lackawanna	19064	186,690.9895	4,747,766.7
1287	Schenectady	61821	587,700.9512	4,739,436.784
1288	Troy	49170	608,454.8539	4,732,283.438
1289	Saratoga Springs	26186	599,553.7513	4,769,035.336
1290	Wilton	12511	603,455.2505	4,778,247.746
1291	Greenfield	7362	591,356.4235	4,776,731.001
1292	Saratoga	5141	610,133.3028	4,768,389.875
1293	Fulton	11855	385,165.7041	4,796,973.135
1294	Volney	6094	388,727.6888	4,801,642.348
1295	Granby	7009	383,121.6912	4,794,231.575
1296	Glens Falls	14354	609,805.2517	4,796,204.916
1297	Utica	60651	481,506.9226	4,771,557.279
1298	Canandaigua	11264	313,783.0691	4,750,963.612
1299	Canandaigua	7649	310,614.2553	4,747,953.591
1300	Geneva	13617	338,036.6486	4,747,674.048
1301	Geneva	3289	336,581.3812	4,743,980.822
1302	Cohoes	15521	605,706.8696	4,736,438.371
1303	Watervliet	10207	605,870.709	4,731,023.577
1304	Albany	95658	598,456.811	4,724,473.401
1305	Rensselaer	7761	603,889.4228	4,722,421.575
1306	Cortland	18740	403,314.8362	4,717,109.427
1307	Dunkirk	13131	143,890.8423	4,712,200.815
1308	Norwich	7355	457,062.3725	4,709,154.757
1309	Oneonta	13292	494,524.8289	4,700,315.777
1310	Hudson	7524	600,160.2258	4,678,412.063
1311	Jamestown	31730	149,668.6709	4,669,311.065
1312	Corning	10842	330,092.9459	4,668,151.846
1313	Binghamton	47380	424,820.4926	4,661,439.198
1314	Elmira	30940	350,341.7831	4,661,771.701
1315	Kingston	23456	583,202.511	4,642,458.834
1316	Poughkeepsie	29871	589,778.436	4,616,463.936
1317	Beacon	13808	586,345.9447	4,595,184.123
1318	Newburgh	28259	581,367.9831	4,595,203.793
1319	Middletown	25388	548,224.2681	4,588,420.73
1320	Port Jervis	8860	525,879.6362	4,580,802.135
1321	Peekskill	22441	590,236.0801	4,571,346.627
1322	Rye	14955	610,430.043	4,535,483.088
1323	Lisbon	4047	474,751.3107	4,950,856.296
1324	Lawrence	1545	525,584.3556	4,956,190.343
1325	Brandon	542	546,056.6494	4,954,033.442
1326	Dickinson	739	536,040.3598	4,953,039.185
1327	Norfolk	4565	504,206.0372	4,964,290.917
1328	Ithaca	29287	376,382.5568	4,700,175.626
1329	Ithaca	18198	375,665.6341	4,699,233.78
1330	Olean	15347	216,111.0403	4,664,557.273
1331	Duane	159	558,591.537	4,941,544.076
1332	Parishville	2049	514,346.823	4,935,109.032
1333	Potsdam	15957	496,863.6825	4,947,118.026
1334	Morristown	2050	449,404.4055	4,931,688.571
1335	Macomb	846	455,038.3054	4,921,352.133
1336	Ausable	3015	616,418.6193	4,930,185.52
1337	Chesterfield	2409	621,132.2867	4,923,592.475
1338	Willsboro	1903	628,119.3964	4,915,982.141
1339	Hermon	1069	477,024.776	4,916,230.976
1340	Jay	2306	603,562.9774	4,913,652.21
1341	Clare	112	500,134.3066	4,912,029.049
1342	Hammond	1207	441,111.7286	4,920,484.33
1343	Wilmington	1131	592,169.5776	4,914,242.811
1344	De Kalb	2213	471,788.5362	4,926,019.734
1345	Rossie	787	449,712.5796	4,908,933.553
1346	Lewis	1200	613,937.9407	4,906,336.092
1347	Alexandria	4097	430,188.4116	4,907,192.919
1348	Orleans	2465	423,232.4564	4,895,421.82
1349	Gouverneur	7418	461,441.6527	4,912,760.183
1350	Fowler	2180	467,036.0081	4,902,659.629
1351	Essex	713	627,854.1323	4,904,649.563
1352	St Armand	1321	577,425.3795	4,914,578.18
1353	Edwards	1148	478,855.426	4,904,933.923
1354	Clifton	791	509,082.2594	4,894,363.384
1355	Keene	1063	594,959.8651	4,892,596.306
1356	Fine	1622	494,121.4539	4,889,896.19
1357	North Elba	8661	580,102.7267	4,898,970.832
1358	Westport	1362	623,933.8028	4,893,607.497
1359	Elizabethtown	1315	610,618.6554	4,892,111.775
1360	Bovina	664	519,876.2172	4,679,535.761
1361	Delhi	4629	507,451.2313	4,680,193.008
1362	Clayton	4817	413,665.9357	4,894,675.121
1363	Croghan	3161	471,070.0498	4,868,610.164
1364	Rodman	1147	426,813.0568	4,854,711.731
1365	New Bremen	2722	470,047.6215	4,856,254.188
1366	Denmark	2747	450,922.7028	4,861,436.674
1367	Pinckney	319	437,228.4965	4,853,760.347
1368	Harrisburg	423	447,674.0955	4,852,883.714
1369	Adams	4782	416,578.0617	4,855,855.031
1370	Inlet	406	521,141.5357	4,841,770.52
1371	Putnam	645	627,514.934	4,845,371.811
1372	Hague	854	616,928.1154	4,842,748.865
1373	Lorraine	930	422,038.3613	4,844,531.798
1374	Webb	1912	500,503.3303	4,853,572.915
1375	Lyme	2015	402,756.1064	4,877,200.757
1376	Moriah	4879	617,736.556	4,879,058.378
1377	Crown Point	2119	618,257.1747	4,867,705.776
1378	Le Ray	19836	436,124.1488	4,880,752.033
1379	Rutland	2959	436,216.7018	4,866,354.838
1380	Wilna	6235	452,706.6599	4,878,296.194
1381	Pamelia	2897	427,601.5888	4,878,202.129
1382	Brownville	5843	414,074.9257	4,874,805.343
