id	name	pop_2000	x	y
2270	Philipstown	9422	590676.8826	4585826.221
2271	Stony Point	14244	582816.5699	4568006.3
1273	Syracuse	147306	406835.3053	4765962.36
1274	Tonawanda	16136	183816.1072	4769316.622
1275	Little Falls	5188	511698.8449	4765823.233
1276	Batavia	16256	240783.5824	4765574.261
1277	Ogdensburg	12364	462512.2593	4950661.67
1278	Watertown	26705	427067.6361	4869302.522
1279	Lockport	22279	199495.9359	4786322.746
1280	Niagara Falls	55593	173225.7296	4778877.478
1281	Rochester	219773	287339.7527	4782794.601
1282	North Tonawanda	33262	185108.1785	4773135.335
1283	Buffalo	292648	184979.0906	4756174.257
1284	Amsterdam	18355	566008.7404	4754704.956
1285	Mechanicville	5019	607012.7856	4750882.529
1286	Lackawanna	19064	186690.9895	4747766.7
1287	Schenectady	61821	587700.9512	4739436.784
1288	Troy	49170	608454.8539	4732283.438
1289	Saratoga Springs	26186	599553.7513	4769035.336
1290	Wilton	12511	603455.2505	4778247.746
1291	Greenfield	7362	591356.4235	4776731.001
1292	Saratoga	5141	610133.3028	4768389.875
1293	Fulton	11855	385165.7041	4796973.135
1294	Volney	6094	388727.6888	4801642.348
1295	Granby	7009	383121.6912	4794231.575
1296	Glens Falls	14354	609805.2517	4796204.916
1297	Utica	60651	481506.9226	4771557.279
1298	Canandaigua	11264	313783.0691	4750963.612
1299	Canandaigua	7649	310614.2553	4747953.591
1300	Geneva	13617	338036.6486	4747674.048
1301	Geneva	3289	336581.3812	4743980.822
1302	Cohoes	15521	605706.8696	4736438.371
1303	Watervliet	10207	605870.709	4731023.577
1304	Albany	95658	598456.811	4724473.401
1305	Rensselaer	7761	603889.4228	4722421.575
1306	Cortland	18740	403314.8362	4717109.427
1307	Dunkirk	13131	143890.8423	4712200.815
1308	Norwich	7355	457062.3725	4709154.757
1309	Oneonta	13292	494524.8289	4700315.777
1310	Hudson	7524	600160.2258	4678412.063
1311	Jamestown	31730	149668.6709	4669311.065
1312	Corning	10842	330092.9459	4668151.846
1313	Binghamton	47380	424820.4926	4661439.198
1314	Elmira	30940	350341.7831	4661771.701
1315	Kingston	23456	583202.511	4642458.834
1316	Poughkeepsie	29871	589778.436	4616463.936
1317	Beacon	13808	586345.9447	4595184.123
1318	Newburgh	28259	581367.9831	4595203.793
1319	Middletown	25388	548224.2681	4588420.73
1320	Port Jervis	8860	525879.6362	4580802.135
1321	Peekskill	22441	590236.0801	4571346.627
1322	Rye	14955	610430.043	4535483.088
1323	Lisbon	4047	474751.3107	4950856.296
1324	Lawrence	1545	525584.3556	4956190.343
1325	Brandon	542	546056.6494	4954033.442
1326	Dickinson	739	536040.3598	4953039.185
1327	Norfolk	4565	504206.0372	4964290.917
1328	Ithaca	29287	376382.5568	4700175.626
1329	Ithaca	18198	375665.6341	4699233.78
1330	Olean	15347	216111.0403	4664557.273
1331	Duane	159	558591.537	4941544.076
1332	Parishville	2049	514346.823	4935109.032
1333	Potsdam	15957	496863.6825	4947118.026
1334	Morristown	2050	449404.4055	4931688.571
1335	Macomb	846	455038.3054	4921352.133
1336	Ausable	3015	616418.6193	4930185.52
1337	Chesterfield	2409	621132.2867	4923592.475
1338	Willsboro	1903	628119.3964	4915982.141
1339	Hermon	1069	477024.776	4916230.976
1340	Jay	2306	603562.9774	4913652.21
1341	Clare	112	500134.3066	4912029.049
1342	Hammond	1207	441111.7286	4920484.33
1343	Wilmington	1131	592169.5776	4914242.811
1344	De Kalb	2213	471788.5362	4926019.734
1345	Rossie	787	449712.5796	4908933.553
1346	Lewis	1200	613937.9407	4906336.092
1347	Alexandria	4097	430188.4116	4907192.919
1348	Orleans	2465	423232.4564	4895421.82
1349	Gouverneur	7418	461441.6527	4912760.183
1350	Fowler	2180	467036.0081	4902659.629
1351	Essex	713	627854.1323	4904649.563
1352	St Armand	1321	577425.3795	4914578.18
1353	Edwards	1148	478855.426	4904933.923
1354	Clifton	791	509082.2594	4894363.384
1355	Keene	1063	594959.8651	4892596.306
1356	Fine	1622	494121.4539	4889896.19
1357	North Elba	8661	580102.7267	4898970.832
1358	Westport	1362	623933.8028	4893607.497
1359	Elizabethtown	1315	610618.6554	4892111.775
1360	Bovina	664	519876.2172	4679535.761
1361	Delhi	4629	507451.2313	4680193.008
1362	Clayton	4817	413665.9357	4894675.121
1363	Croghan	3161	471070.0498	4868610.164
1364	Rodman	1147	426813.0568	4854711.731
1365	New Bremen	2722	470047.6215	4856254.188
1366	Denmark	2747	450922.7028	4861436.674
1367	Pinckney	319	437228.4965	4853760.347
1368	Harrisburg	423	447674.0955	4852883.714
1369	Adams	4782	416578.0617	4855855.031
1370	Inlet	406	521141.5357	4841770.52
1371	Putnam	645	627514.934	4845371.811
1372	Hague	854	616928.1154	4842748.865
1373	Lorraine	930	422038.3613	4844531.798
1374	Webb	1912	500503.3303	4853572.915
1375	Lyme	2015	402756.1064	4877200.757
1376	Moriah	4879	617736.556	4879058.378
1377	Crown Point	2119	618257.1747	4867705.776
1378	Le Ray	19836	436124.1488	4880752.033
1379	Rutland	2959	436216.7018	4866354.838
1380	Wilna	6235	452706.6599	4878296.194
1381	Pamelia	2897	427601.5888	4878202.129
1382	Brownville	5843	414074.9257	4874805.343
1383	Watertown	4482	426259.8258	4864836.215
1384	Watson	1987	479612.5357	4852417.222
1385	Champion	4361	444271.5232	4868903.653
1386	Minerva	796	575640.4005	4856066.216
1387	Hounsfield	3323	403087.566	4864256.741
1388	Indian Lake	1471	554565.7301	4848483.417
1389	Schroon	1759	599173.4224	4855945.22
1390	Ticonderoga	5167	620614.6222	4856516.666
1391	Arietta	293	534773.574	4819316.629
1392	Henderson	1377	402860.7901	4856543.057
1393	Lowville	4548	457879.3153	4851595.522
1394	Worth	234	432012.1591	4843605.081
1395	Horicon	1479	603585.9998	4840603.056
1396	Montague	108	442821.4807	4840790.376
1397	Martinsburg	1249	457431.8528	4841930.098
